ID Proceso,Prioridad,ID Nodo,Ticket,Hora de creación del proceso,Hora de entrada a la SC,Hora de salida de la SC,Hora de muerte del proceso,ACK's
501413,2,1,131,22:07:57.589,22:09:49.477,22:09:51.591,22:09:51.591,0
501393,2,1,139,22:07:57.591,22:09:51.477,22:09:53.593,22:09:53.593,0
501419,2,1,147,22:07:57.593,22:09:53.477,22:09:55.595,22:09:55.595,0
501412,2,1,152,22:07:57.595,22:09:55.477,22:09:57.597,22:09:57.597,0
501381,2,1,159,22:07:57.597,22:09:57.477,22:09:59.599,22:09:59.599,0
501385,2,1,88,22:07:57.599,22:09:59.477,22:10:01.601,22:10:01.601,0
501307,2,1,164,22:07:57.601,22:10:01.477,22:10:03.603,22:10:03.603,0
501332,2,1,173,22:07:57.603,22:10:03.477,22:10:05.605,22:10:05.605,0
501314,2,1,174,22:07:57.605,22:10:05.477,22:10:07.607,22:10:07.607,0
501376,2,1,186,22:07:57.607,22:10:07.477,22:10:09.609,22:10:09.609,0
501365,2,1,190,22:07:57.609,22:10:09.477,22:10:11.611,22:10:11.611,0
501370,2,1,191,22:07:57.611,22:10:11.477,22:10:13.613,22:10:13.613,0
501388,2,1,205,22:07:57.613,22:10:13.477,22:10:15.615,22:10:15.615,0
501375,2,1,212,22:07:57.615,22:10:15.477,22:10:17.617,22:10:17.617,0
501395,2,1,213,22:07:57.617,22:10:17.477,22:10:19.619,22:10:19.619,0
501331,3,1,21,22:07:57.619,22:10:19.477,22:10:21.621,22:10:21.621,99
501312,3,1,15,22:07:57.620,22:10:20.477,22:10:22.622,22:10:22.622,99
501324,3,1,25,22:07:57.621,22:10:21.477,22:10:23.623,22:10:23.623,0
501322,3,1,30,22:07:57.622,22:10:22.477,22:10:24.624,22:10:24.624,0
501319,3,1,40,22:07:57.623,22:10:23.477,22:10:25.625,22:10:25.625,0
501356,3,1,53,22:07:57.624,22:10:24.477,22:10:26.626,22:10:26.626,0
501378,3,1,54,22:07:57.625,22:10:25.477,22:10:27.627,22:10:27.627,0
501380,3,1,56,22:07:57.626,22:10:26.477,22:10:28.628,22:10:28.628,0
501359,3,1,60,22:07:57.627,22:10:27.477,22:10:29.629,22:10:29.629,0
501348,3,1,65,22:07:57.628,22:10:28.477,22:10:31.631,22:10:31.631,0
501383,3,1,69,22:07:57.629,22:10:29.477,22:10:31.631,22:10:31.631,0
501352,3,1,86,22:07:57.631,22:10:31.477,22:10:33.633,22:10:33.633,0
501398,3,1,106,22:07:57.631,22:10:31.477,22:10:33.633,22:10:33.633,0
501411,3,1,128,22:07:57.633,22:10:33.477,22:10:35.635,22:10:35.635,0
501382,3,1,96,22:07:57.633,22:10:33.477,22:10:35.635,22:10:35.635,0
501394,3,1,129,22:07:57.635,22:10:35.477,22:10:37.637,22:10:37.637,0
501422,3,1,131,22:07:57.635,22:10:35.477,22:10:37.637,22:10:37.637,0
501347,3,1,135,22:07:57.637,22:10:37.477,22:10:39.639,22:10:39.639,0
501387,3,1,142,22:07:57.637,22:10:37.477,22:10:39.639,22:10:39.639,0
501404,3,1,143,22:07:57.639,22:10:39.477,22:10:41.641,22:10:41.641,0
501408,3,1,152,22:07:57.639,22:10:39.477,22:10:41.641,22:10:41.641,0
501407,3,1,154,22:07:57.641,22:10:41.477,22:10:43.643,22:10:43.643,0
501402,3,1,157,22:07:57.641,22:10:41.477,22:10:43.643,22:10:43.643,0
501374,3,1,161,22:07:57.643,22:10:43.477,22:10:45.645,22:10:45.645,0
501401,3,1,148,22:07:57.643,22:10:43.477,22:10:45.645,22:10:45.645,0
501373,3,1,179,22:07:57.645,22:10:45.477,22:10:47.647,22:10:47.647,0
501409,3,1,181,22:07:57.645,22:10:45.477,22:10:47.647,22:10:47.647,0
501418,3,1,182,22:07:57.647,22:10:47.477,22:10:49.649,22:10:49.649,0
501416,3,1,183,22:07:57.647,22:10:47.477,22:10:49.649,22:10:49.649,0
501310,3,1,186,22:07:57.649,22:10:49.477,22:10:51.651,22:10:51.651,0
501351,3,1,195,22:07:57.649,22:10:49.477,22:10:51.651,22:10:51.651,0
501414,3,1,199,22:07:57.651,22:10:51.477,22:10:53.653,22:10:53.653,0
501396,3,1,209,22:07:57.651,22:10:51.477,22:10:53.653,22:10:53.653,0
501313,3,1,218,22:07:57.653,22:10:53.477,22:10:55.655,00:00:00.0,0
