19:43:58.238,10,89903,Entra,1,1
19:43:59.136,1,89167,Entra,1,1
19:43:59.67,3,89231,Entra,1,1
19:43:59.496,2,89160,Entra,1,1
19:43:59.660,7,89451,Entra,1,1
19:43:59.480,4,89602,Entra,1,1
19:43:59.509,9,89677,Entra,1,1
19:43:59.855,8,89790,Entra,1,1
19:43:59.863,10,89903,Sale,1,1
19:43:59.606,2,89160,Sale,1,1
19:43:59.643,2,89285,Entra,2,1
19:44:0.854,2,89285,Sale,2,1
19:43:59.10,1,89167,Sale,1,1
19:43:59.62,1,89229,Entra,2,1
19:44:0.9,1,89229,Sale,2,1
19:43:59.371,4,89602,Sale,1,1
19:43:59.515,4,89603,Entra,2,1
19:43:59.546,10,89901,Entra,2,1
19:43:59.502,10,89901,Sale,2,1
19:44:0.572,10,89860,Entra,3,1
19:43:59.978,3,89231,Sale,1,1
19:43:59.43,3,89237,Entra,2,1
19:44:0.443,3,89237,Sale,2,1
19:44:0.660,3,89334,Entra,3,1
19:43:59.511,7,89451,Sale,1,1
19:43:59.601,7,89452,Entra,2,1
19:44:0.270,7,89452,Sale,2,1
19:44:0.318,7,89455,Entra,3,1
19:43:59.410,8,89790,Sale,1,1
19:43:59.618,8,89792,Entra,2,1
19:44:0.900,8,89792,Sale,2,1
19:44:0.947,8,89789,Entra,3,1
19:43:59.711,9,89677,Sale,1,1
19:43:59.748,9,89678,Entra,2,1
19:44:0.605,9,89678,Sale,2,1
19:44:0.648,9,89681,Entra,3,1
19:44:0.236,2,89162,Entra,3,1
19:44:0.46,2,89162,Sale,3,1
19:44:0.97,2,89269,Entra,4,1
19:44:1.953,2,89269,Sale,4,1
19:44:1.18,2,89158,Entra,5,1
19:44:2.84,2,89158,Sale,5,1
19:44:2.126,2,89279,Entra,6,1
19:44:2.709,2,89279,Sale,6,1
19:44:2.759,2,89192,Entra,7,1
19:44:3.508,2,89192,Sale,7,1
19:44:3.566,2,89216,Entra,8,1
19:44:3.709,2,89216,Sale,8,1
19:44:3.757,2,89252,Entra,9,1
19:44:4.41,2,89252,Sale,9,1
19:44:4.91,2,89152,Entra,10,1
19:44:4.656,2,89152,Sale,10,1
19:44:4.719,2,89266,Entra,11,1
19:44:5.758,2,89266,Sale,11,1
19:44:5.800,2,89238,Entra,12,1
19:44:5.385,2,89238,Sale,12,1
19:44:5.429,2,89282,Entra,13,1
19:44:6.989,2,89282,Sale,13,1
19:44:6.37,2,89227,Entra,14,1
19:44:6.8,2,89227,Sale,14,1
19:44:6.50,2,89179,Entra,15,1
19:44:7.455,2,89179,Sale,15,1
19:44:7.495,2,89220,Entra,16,1
19:44:7.684,2,89220,Sale,16,1
19:44:7.726,2,89233,Entra,17,1
19:44:8.589,2,89233,Sale,17,1
19:44:8.632,2,89168,Entra,18,1
19:44:8.536,2,89168,Sale,18,1
19:44:8.579,2,89254,Entra,19,1
19:44:9.28,2,89254,Sale,19,1
19:44:9.68,2,89195,Entra,20,1
19:44:9.945,2,89195,Sale,20,1
19:44:9.14,2,89257,Entra,21,1
19:44:10.654,2,89257,Sale,21,1
19:44:10.693,2,89176,Entra,22,1
19:44:10.709,2,89176,Sale,22,1
19:44:10.757,2,89187,Entra,23,1
19:44:11.343,2,89187,Sale,23,1
19:44:11.384,2,89184,Entra,24,1
19:44:11.392,2,89184,Sale,24,1
19:44:11.454,2,89230,Entra,25,1
19:44:12.568,2,89230,Sale,25,1
19:44:12.612,2,89177,Entra,26,1
19:44:0.276,1,89147,Entra,3,1
19:44:1.615,1,89147,Sale,3,1
19:44:1.722,1,89236,Entra,4,1
19:44:1.683,1,89236,Sale,4,1
19:44:1.726,1,89333,Entra,5,1
19:44:2.866,1,89333,Sale,5,1
19:44:2.904,1,89161,Entra,6,1
19:44:2.12,1,89161,Sale,6,1
19:44:2.53,1,89153,Entra,7,1
19:44:3.976,1,89153,Sale,7,1
19:44:3.27,1,89225,Entra,8,1
19:44:3.656,1,89225,Sale,8,1
19:44:3.696,1,89222,Entra,9,1
19:44:4.543,1,89222,Sale,9,1
19:44:4.580,1,89165,Entra,10,1
19:44:4.294,1,89165,Sale,10,1
19:44:4.334,1,89159,Entra,11,1
19:44:5.564,1,89159,Sale,11,1
19:44:5.600,1,89155,Entra,12,1
19:44:5.310,1,89155,Sale,12,1
19:44:5.349,1,89139,Entra,13,1
19:44:6.196,1,89139,Sale,13,1
19:44:6.233,1,89280,Entra,14,1
19:44:6.23,1,89280,Sale,14,1
19:44:6.66,1,89283,Entra,15,1
19:44:7.81,1,89283,Sale,15,1
19:44:7.120,1,89286,Entra,16,1
19:44:7.434,1,89286,Sale,16,1
19:44:7.475,1,89292,Entra,17,1
19:44:8.322,1,89292,Sale,17,1
19:44:8.361,1,89295,Entra,18,1
19:44:8.639,1,89295,Sale,18,1
19:44:8.680,1,89298,Entra,19,1
19:44:9.580,1,89298,Sale,19,1
19:44:9.619,1,89301,Entra,20,1
19:44:9.886,1,89301,Sale,20,1
19:44:9.926,1,89304,Entra,21,1
19:44:10.977,1,89304,Sale,21,1
19:44:10.16,1,89244,Entra,22,1
19:44:10.898,1,89244,Sale,22,1
19:44:10.996,1,89169,Entra,23,1
19:44:11.484,1,89169,Sale,23,1
19:44:11.522,1,89175,Entra,24,1
19:44:11.875,1,89175,Sale,24,1
19:44:11.916,1,89178,Entra,25,1
19:44:12.579,1,89178,Sale,25,1
19:44:12.617,1,89270,Entra,26,1
19:44:0.516,4,89603,Sale,2,1
19:44:0.187,4,89604,Entra,3,1
19:44:1.358,4,89604,Sale,3,1
19:44:1.400,4,89605,Entra,4,1
19:44:1.135,4,89605,Sale,4,1
19:44:1.188,4,89608,Entra,5,1
19:44:2.371,4,89608,Sale,5,1
19:44:2.414,4,89609,Entra,6,1
19:44:2.190,4,89609,Sale,6,1
19:44:2.244,4,89614,Entra,7,1
19:44:3.339,4,89614,Sale,7,1
19:44:3.398,4,89616,Entra,8,1
19:44:3.250,4,89616,Sale,8,1
19:44:3.303,4,89617,Entra,9,1
19:44:4.948,4,89617,Sale,9,1
19:44:4.996,4,89622,Entra,10,1
19:44:4.228,4,89622,Sale,10,1
19:44:4.294,4,89626,Entra,11,1
19:44:5.886,4,89626,Sale,11,1
19:44:5.937,4,89627,Entra,12,1
19:44:5.972,4,89627,Sale,12,1
19:44:5.28,4,89629,Entra,13,1
19:44:6.953,4,89629,Sale,13,1
19:44:6.996,4,89634,Entra,14,1
19:44:6.274,4,89634,Sale,14,1
19:44:6.340,4,89635,Entra,15,1
19:44:7.524,4,89635,Sale,15,1
19:44:7.571,4,89639,Entra,16,1
19:44:7.848,4,89639,Sale,16,1
19:44:7.896,4,89641,Entra,17,1
19:44:8.87,4,89641,Sale,17,1
19:44:8.129,4,89642,Entra,18,1
19:44:9.533,4,89642,Sale,18,1
19:44:9.600,4,89645,Entra,19,1
19:44:9.912,4,89645,Sale,19,1
19:44:9.968,4,89646,Entra,20,1
19:44:10.111,4,89646,Sale,20,1
19:44:10.167,4,89649,Entra,21,1
19:44:10.492,4,89649,Sale,21,1
19:44:10.544,4,89653,Entra,22,1
19:44:11.695,4,89653,Sale,22,1
19:44:11.743,4,89656,Entra,23,1
19:44:11.630,4,89656,Sale,23,1
19:44:11.671,4,89658,Entra,24,1
19:44:12.286,4,89658,Sale,24,1
19:44:12.331,4,89661,Entra,25,1
19:44:0.100,3,89334,Sale,3,1
19:44:0.155,3,89335,Entra,4,1
19:44:1.809,3,89335,Sale,4,1
19:44:1.879,3,89336,Entra,5,1
19:44:1.147,3,89336,Sale,5,1
19:44:1.917,3,89337,Entra,6,1
19:44:2.480,3,89337,Sale,6,1
19:44:2.545,3,89339,Entra,7,1
19:44:2.283,3,89339,Sale,7,1
19:44:2.339,3,89340,Entra,8,1
